# Performance and accuracy of the ARPACK, Eigen and Numerical Recipes eigensolvers.
# 
# n_rep=10
# r_ev=0.1
# r_zeros=0.9
# 
# n_dim             time_a              time_e              time_n              error_values_ae     error_vectors_ae    error_values_ne     error_vectors_ne    n_it                n_conv              
100                 0.0024161           0.002356            0.004782            1.00941e-14         2.75312e-13         8.97504e-15         0.0858383           7.2                 10                  
123                 0.00342             0.0042581           0.008724            1.24049e-14         1.31985e-13         1.13835e-14         0.187875            6.5                 12                  
146                 0.0046885           0.006439            0.0143701           1.5264e-14          3.73369e-13         1.51339e-14         0.112893            6.3                 14                  
169                 0.0060135           0.0100234           0.0217381           1.52878e-14         7.77451e-14         1.58817e-14         0.0695347           5.7                 16                  
192                 0.0082322           0.0147943           0.0464381           1.83666e-14         1.27501e-13         1.73195e-14         0.460123            5.1                 19                  
215                 0.010144            0.0200542           0.0511545           1.85672e-14         1.30127e-13         1.88526e-14         0.474697            5                   21                  
238                 0.0124244           0.0258808           0.068089            2.45794e-14         4.21066e-13         2.56838e-14         0.381915            5                   23                  
261                 0.0162132           0.0351982           0.0987049           2.31593e-14         1.94845e-13         2.3822e-14          0.212219            4.7                 26                  
284                 0.0190738           0.0429835           0.126479            2.64899e-14         3.7299e-13          2.66739e-14         0.235841            4.5                 28                  
307                 0.0212288           0.0560288           0.191754            2.90494e-14         5.22931e-13         2.91026e-14         0.307576            4                   30                  
330                 0.0272804           0.0664759           0.214275            2.91565e-14         4.06743e-13         3.15196e-14         0.30902             4.3                 33                  
353                 0.0312126           0.0836606           0.285857            3.42837e-14         5.86522e-13         3.5083e-14          0.299229            4                   35                  
376                 0.0373187           0.0965623           0.343851            3.24401e-14         4.72188e-13         3.43749e-14         0.349021            4.2                 37                  
399                 0.0425765           0.118582            0.420532            3.58027e-14         7.96695e-13         3.85082e-14         0.284068            4                   39                  
422                 0.0552111           0.134285            0.500385            3.48314e-14         5.10637e-13         3.60241e-14         0.346006            4.5                 42                  
445                 0.0608318           0.16213             0.594568            3.76567e-14         4.01397e-13         3.91828e-14         0.28899             4.2                 44                  
468                 0.0689486           0.181132            0.696614            4.15127e-14         4.33658e-13         4.26673e-14         0.309678            4.3                 46                  
491                 0.0819575           0.214976            0.81664             4.68541e-14         3.54993e-13         4.81103e-14         0.245998            4.1                 49                  
514                 0.0963409           0.253695            1.07835             4.96701e-14         8.67043e-13         5.13001e-14         0.130412            4.3                 51                  
537                 0.10558             0.278882            1.35795             4.64568e-14         7.89696e-13         4.81644e-14         0.131852            4.1                 53                  
560                 0.115014            0.304851            1.89227             5.02566e-14         3.80331e-13         5.22265e-14         0.216058            4                   56                  
583                 0.132831            0.355368            1.8892              5.77148e-14         1.06921e-12         6.20255e-14         0.125454            4.2                 58                  
606                 0.148519            0.384092            2.52755             5.95109e-14         6.86487e-13         6.16914e-14         0.115355            4.3                 60                  
629                 0.161005            0.443096            3.10168             6.70345e-14         4.03187e-13         6.8725e-14          0.156385            4.2                 62                  
652                 0.180432            0.475874            3.29979             6.60914e-14         1.08338e-12         6.8898e-14          0.132445            4.3                 65                  
675                 0.192235            0.544659            3.83185             6.3119e-14          6.32859e-13         6.60619e-14         0.139037            4.2                 67                  
698                 0.212749            0.580637            4.69997             7.24728e-14         1.29293e-12         7.38012e-14         0.183116            4.4                 69                  
721                 0.229091            0.663064            5.63349             6.5798e-14          7.48281e-13         6.8687e-14          0.192825            4.1                 72                  
744                 0.241347            0.728097            6.03453             7.64182e-14         1.03196e-12         7.75764e-14         0.15931             4.1                 74                  
767                 0.287161            0.849921            7.62334             6.93796e-14         5.87792e-13         7.36101e-14         0.134713            4.7                 76                  
790                 0.28583             0.941797            8.00742             7.33534e-14         1.00342e-12         7.695e-14           0.130565            4.2                 79                  
813                 0.325122            1.08314             9.87335             8.20238e-14         5.34856e-13         8.39471e-14         0.0633891           4.4                 81                  
836                 0.34115             1.18299             9.97569             8.51399e-14         9.51384e-13         8.65578e-14         0.104202            4.4                 83                  
859                 0.376369            1.34073             12.3875             8.36716e-14         6.8108e-13          8.73309e-14         0.081523            4.5                 85                  
882                 0.400117            1.45949             12.6736             9.07749e-14         9.21156e-13         9.3506e-14          0.198397            4.5                 88                  
905                 0.42004             1.6481              15.2316             8.95195e-14         1.10755e-12         9.11903e-14         0.100662            4.3                 90                  
928                 0.426245            1.771               14.5297             9.27287e-14         8.89292e-13         9.98728e-14         0.122683            4.1                 92                  
951                 0.475599            1.97792             18.3057             9.72125e-14         1.6474e-12          1.01562e-13         0.0739799           4.2                 95                  
974                 0.504537            2.1143              17.9548             9.18029e-14         1.37026e-12         9.84083e-14         0.156761            4.4                 97                  
997                 0.537118            2.35191             21.4216             9.47767e-14         1.33763e-12         9.91718e-14         0.09876             4.2                 99                  
