# Performance and accuracy of the ARPACK, Eigen and Numerical Recipes eigensolvers.
# 
# n_rep=10
# r_ev=0.01
# r_zeros=0.1
# 
# n_dim             time_a              time_e              time_n              error_values_ae     error_vectors_ae    error_values_ne     error_vectors_ne    n_it                n_conv              
100                 0.0088845           0.0031954           0.0061257           4.60076e-14         4.36675e-15         4.86722e-14         0.469064            469                 1                   
123                 0.0120131           0.0043352           0.008767            9.84102e-14         7.52028e-13         9.92983e-14         0.834562            554.6               1                   
146                 0.0179044           0.0069507           0.0157544           1.49747e-13         9.19791e-15         1.23634e-13         14.5895             600.2               1                   
169                 0.0291234           0.0101357           0.0218376           9.13047e-14         7.28754e-14         8.7752e-14          0.562004            734.4               1                   
192                 0.0342639           0.0139916           0.0470646           1.50635e-13         5.0784e-15          1.20615e-13         11.6914             720.2               1                   
215                 0.0166558           0.0220274           0.0522567           1.73372e-13         3.55413e-13         1.7355e-13          0.456681            74.4                2                   
238                 0.0241906           0.0261442           0.0684502           1.98508e-13         7.92619e-13         1.7204e-13          0.759475            95.1                2                   
261                 0.0322481           0.0353366           0.0987691           2.93454e-13         8.14516e-15         3.01981e-13         3.3713              106.4               2                   
284                 0.0310147           0.0434667           0.128073            2.36255e-13         1.05199e-12         2.25064e-13         1.71184             82.9                2                   
307                 0.0277355           0.0581415           0.192543            2.69296e-13         4.47369e-13         2.57098e-13         1.31484             44.1                3                   
330                 0.0308585           0.0668756           0.217041            3.19626e-13         3.68355e-13         3.37153e-13         1.43182             41.8                3                   
353                 0.0409751           0.0843356           0.286119            3.21639e-13         2.37949e-13         3.02218e-13         0.738691            49                  3                   
376                 0.0500899           0.101518            0.351878            3.14889e-13         5.35765e-13         2.94757e-13         4.76382e+150        51.6                3                   
399                 0.0529545           0.119061            0.426675            3.01389e-13         5.68806e-13         3.31231e-13         4.0403e+151         52                  3                   
422                 0.0555904           0.137176            0.502514            4.20286e-13         1.63594e-13         4.19487e-13         3.18341e+151        36.3                4                   
445                 0.0638505           0.162772            0.598827            3.16103e-13         7.52909e-13         3.26494e-13         3.01887e+151        38.3                4                   
468                 0.0712222           0.183188            0.691597            4.41247e-13         1.60967e-13         4.59366e-13         2.87051e+151        37.8                4                   
491                 0.0780901           0.215136            0.815645            5.68079e-13         7.98659e-13         5.73763e-13         2.73605e+151        37.9                4                   
514                 0.0809891           0.25359             1.07992             5.58558e-13         3.24593e-13         5.59837e-13         3.65906e+151        28.4                5                   
537                 0.114047            0.3115              1.68092             6.33023e-13         2.78068e-13         6.06093e-13         1.00067e+151        30.5                5                   
560                 0.117731            0.331654            1.99318             6.13554e-13         2.23153e-13         5.91172e-13         2.87889e+151        33.1                5                   
583                 0.130766            0.373279            2.00067             7.31291e-13         5.93083e-13         7.32214e-13         3.22682e+151        33.4                5                   
606                 0.135093            0.391553            2.55029             7.08766e-13         4.23618e-13         6.90055e-13         2.66019e+151        26                  6                   
629                 0.162701            0.445788            3.1295              7.93262e-13         4.37871e-13         7.68156e-13         3.41723e+151        27.9                6                   
652                 0.18721             0.47863             3.30477             7.70761e-13         4.21908e-13         7.6407e-13          3.70877e+151        28.5                6                   
675                 0.19977             0.551121            3.86161             8.44125e-13         5.84873e-13         8.59342e-13         3.98044e+151        27.2                6                   
698                 0.218278            0.585207            4.74656             9.9547e-13          6.36469e-13         9.70187e-13         1.15589e+151        27.6                6                   
721                 0.249158            0.670943            5.67978             8.78434e-13         6.51989e-13         8.93203e-13         2.61527e+151        25.3                7                   
744                 0.265164            0.73472             6.06414             9.88669e-13         2.70103e-13         9.42992e-13         2.52825e+151        25.3                7                   
767                 0.276399            0.856402            7.73143             1.00653e-12         9.56094e-13         9.87604e-13         1.7515e+151         24.2                7                   
790                 0.292796            0.94644             8.02076             1.07388e-12         2.48024e-12         1.06419e-12         1.3604e+151         23.9                7                   
813                 0.318049            1.08861             9.89801             1.04592e-12         6.60166e-13         1.0445e-12          1.6524e+151         22.3                8                   
836                 0.355172            1.19963             10.0758             1.02842e-12         4.09775e-13         1.01723e-12         1.92832e+151        22.8                8                   
859                 0.365742            1.37548             12.7613             1.11515e-12         5.46037e-13         1.11449e-12         1.56391e+151        22.1                8                   
882                 0.382753            1.47408             12.8229             1.21823e-12         5.382e-13           1.18181e-12         1.52313e+151        22.1                8                   
905                 0.419491            1.69106             15.7537             1.24258e-12         1.08682e-12         1.23299e-12         1.48442e+151        20.3                9                   
928                 0.43004             1.79335             14.6023             1.21029e-12         1.07403e-12         1.19869e-12         1.1581e+151         19.9                9                   
951                 0.467835            1.99154             18.4747             1.23867e-12         6.83602e-13         1.22312e-12         1.69514e+151        21.1                9                   
974                 0.499844            2.20907             18.5613             1.33724e-12         6.8469e-13          1.34968e-12         1.10341e+151        20.5                9                   
997                 0.513307            2.36577             21.5288             1.52167e-12         6.66981e-13         1.49419e-12         1.34744e+151        21.2                9                   
