# Performance and accuracy of the ARPACK, Eigen and Numerical Recipes eigensolvers.
# 
# n_rep=10
# r_ev=0.1
# r_zeros=0.1
# 
# n_dim             time_a              time_e              time_n              error_values_ae     error_vectors_ae    error_values_ne     error_vectors_ne    n_it                n_conv              
100                 0.003788            0.002376            0.0048236           2.49578e-14         2.43608e-13         2.36255e-14         0.0887339           7.4                 10                  
123                 0.0062712           0.004607            0.0092438           3.1782e-14          5.77855e-13         3.1708e-14          0.216843            7                   12                  
146                 0.0079101           0.0065336           0.014361            4.05517e-14         1.71609e-13         4.0133e-14          0.863729            6.1                 14                  
169                 0.011548            0.0101486           0.0220118           3.77032e-14         2.95619e-13         3.85469e-14         1.8696              6                   16                  
192                 0.0155544           0.0139066           0.0465888           4.58113e-14         4.82875e-13         4.88498e-14         1.15692             5.6                 19                  
215                 0.0201541           0.0202869           0.051262            5.54223e-14         6.54117e-13         5.47456e-14         0.772394            5.3                 21                  
238                 0.024736            0.0261602           0.0680711           6.18558e-14         6.50255e-13         6.23733e-14         1.04603             5                   23                  
261                 0.0332373           0.0355164           0.104435            6.81779e-14         5.32326e-13         7.05897e-14         0.806364            4.9                 26                  
284                 0.038122            0.0435509           0.128208            6.45198e-14         3.68237e-13         6.80408e-14         0.808605            4.6                 28                  
307                 0.0464383           0.0563952           0.191972            7.82604e-14         3.07944e-13         7.85091e-14         0.65588             4.5                 30                  
330                 0.0544526           0.0668774           0.217142            8.77951e-14         5.90644e-13         9.20099e-14         0.841485            4.1                 33                  
353                 0.0677553           0.0841836           0.285993            9.49285e-14         4.68415e-13         9.92171e-14         0.673732            4.3                 35                  
376                 0.0795392           0.0973942           0.344095            9.01045e-14         9.27058e-13         9.40461e-14         0.7949              4.3                 37                  
399                 0.0927032           0.118767            0.421709            9.37415e-14         7.662e-13           9.54131e-14         0.457057            4.2                 39                  
422                 0.115614            0.135274            0.501119            1.14063e-13         6.3847e-13          1.19807e-13         0.866045            4.5                 42                  
445                 0.125462            0.162479            0.59976             1.03202e-13         7.69209e-13         1.07175e-13         0.701934            4                   44                  
468                 0.147067            0.181406            0.693973            1.20151e-13         9.77374e-13         1.29072e-13         0.597403            4.2                 46                  
491                 0.17357             0.215236            0.820219            1.22938e-13         7.22794e-13         1.33314e-13         0.305111            4.1                 49                  
514                 0.197797            0.252782            1.08074             1.39162e-13         5.49797e-13         1.43e-13            0.56117             4.1                 51                  
537                 0.231341            0.27934             1.36608             1.46694e-13         7.33236e-13         1.55341e-13         4.54416e+69         4.1                 53                  
560                 0.298459            0.305818            1.89608             1.43073e-13         8.05677e-13         1.51022e-13         0.394028            4.3                 56                  
583                 0.344974            0.355215            1.89604             1.57152e-13         1.05934e-12         1.60479e-13         6.79962e+69         4                   58                  
606                 0.414111            0.385919            2.52754             1.68908e-13         1.02421e-12         1.77097e-13         7.90437e+68         4.2                 60                  
629                 0.47508             0.444195            3.11247             1.69613e-13         1.02387e-12         1.77699e-13         0.046233            4.3                 62                  
652                 0.548237            0.476922            3.30426             1.67382e-13         1.10363e-12         1.81784e-13         0.319759            4.4                 65                  
675                 0.575674            0.546087            3.82407             1.88808e-13         1.8541e-12          1.97648e-13         0.114618            4                   67                  
698                 0.639383            0.582877            4.68545             1.95724e-13         5.58193e-13         2.08673e-13         0.261454            4.2                 69                  
721                 0.718477            0.669173            5.66361             1.99051e-13         8.06808e-13         2.1113e-13          0.0595225           4.2                 72                  
744                 0.801512            0.731956            6.04989             2.0673e-13          9.94056e-13         2.11651e-13         0.183769            4.5                 74                  
767                 0.856076            0.850919            7.63025             2.10265e-13         5.39531e-13         2.21484e-13         0.251311            4.3                 76                  
790                 0.926207            0.939029            7.99585             2.21168e-13         1.02901e-12         2.32572e-13         0.25049             4.2                 79                  
813                 0.997823            1.08476             9.85698             2.22738e-13         1.25636e-12         2.32435e-13         0.245438            4.1                 81                  
836                 1.12881             1.18152             9.98653             2.22023e-13         1.35602e-12         2.35014e-13         1.44969e+69         4.5                 83                  
859                 1.16855             1.34688             12.4141             2.46483e-13         1.4217e-12          2.54475e-13         1.96811e+69         4.2                 85                  
882                 1.28637             1.46322             12.646              2.43769e-13         8.59064e-13         2.53135e-13         1.48115e+69         4.3                 88                  
905                 1.42348             1.6446              15.2082             2.50944e-13         1.18119e-12         2.61302e-13         0.379124            4.5                 90                  
928                 1.51513             1.79301             14.5116             2.51996e-13         1.71421e-12         2.63194e-13         8.4158e+68          4.5                 92                  
951                 1.57899             1.9775              18.3042             2.56162e-13         8.17718e-13         2.6789e-13          0.23178             4.2                 95                  
974                 1.75011             2.14215             17.9444             2.73683e-13         8.48119e-13         2.81357e-13         9.12603e+68         4.5                 97                  
997                 1.82979             2.36154             21.4082             2.9813e-13          1.37097e-12         3.06072e-13         7.27949e+68         4.3                 99                  
