# Performance and accuracy of the ARPACK, Eigen and Numerical Recipes eigensolvers.
# 
# n_rep=10
# r_ev=1
# r_zeros=0.1
# 
# n_dim             time_a              time_e              time_n              error_values_ae     error_vectors_ae    error_values_ne     error_vectors_ne    n_it                n_conv              
100                 0.0139892           0.0023819           0.0048842           9.48352e-15         2.92446e-13         9.02184e-15         2.92725e-13         1                   99                  
123                 0.0301873           0.0043375           0.0087658           1.14297e-14         2.18318e-13         1.13154e-14         2.18326e-13         1                   122                 
146                 0.0320036           0.0065176           0.0143949           1.40863e-14         2.90612e-13         1.42003e-14         2.90844e-13         1                   145                 
169                 0.0503714           0.010098            0.0222586           1.44427e-14         3.10066e-13         1.48591e-14         3.09996e-13         1                   168                 
192                 0.0749136           0.0140321           0.0463437           1.76142e-14         3.85216e-13         1.82448e-14         3.84874e-13         1                   191                 
215                 0.100435            0.0201787           0.0512453           1.96049e-14         3.82005e-13         1.99168e-14         3.82021e-13         1                   214                 
238                 0.126326            0.026126            0.0691101           2.22215e-14         3.92467e-13         2.22303e-14         3.92391e-13         1                   237                 
261                 0.164938            0.0354214           0.0992231           2.35182e-14         3.98291e-13         2.40413e-14         3.98268e-13         1                   260                 
284                 0.21532             0.0434919           0.127722            2.46952e-14         5.46727e-13         2.44006e-14         5.46472e-13         1                   283                 
307                 0.279318            0.0563257           0.19215             2.73244e-14         6.1396e-13          2.78902e-14         6.14804e-13         1                   306                 
330                 0.319723            0.0672368           0.217545            3.06046e-14         3.98409e-13         3.09374e-14         3.985e-13           1                   329                 
353                 0.432887            0.0846981           0.286235            3.19276e-14         4.9344e-13          3.20159e-14         4.93528e-13         1                   352                 
376                 0.463566            0.0973425           0.344363            3.29975e-14         5.76702e-13         3.34925e-14         5.76949e-13         1                   375                 
399                 0.581073            0.119023            0.423706            3.42438e-14         4.8327e-13          3.38011e-14         4.83305e-13         1                   398                 
422                 0.609794            0.134762            0.499968            3.76923e-14         5.23187e-13         3.8605e-14          5.23056e-13         1                   421                 
445                 0.680664            0.163201            0.596121            3.80071e-14         6.03266e-13         3.8916e-14          6.04012e-13         1                   444                 
468                 0.823179            0.181319            0.690773            4.18173e-14         7.40139e-13         4.25257e-14         7.40664e-13         1                   467                 
491                 0.918852            0.215611            0.816732            4.37467e-14         6.20142e-13         4.54692e-14         6.19812e-13         1                   490                 
514                 1.19502             0.252517            1.08038             4.46952e-14         5.74978e-13         4.63475e-14         5.7531e-13          1                   513                 
537                 1.17256             0.279432            1.36424             4.73232e-14         6.56176e-13         4.8554e-14          6.55636e-13         1                   536                 
560                 1.39697             0.30576             1.88936             4.89352e-14         5.96166e-13         5.01601e-14         5.96046e-13         1                   559                 
583                 1.58312             0.355699            1.89811             5.04975e-14         7.09568e-13         5.17046e-14         7.10909e-13         1                   582                 
606                 1.95672             0.385024            2.52927             5.4641e-14          6.60611e-13         5.5788e-14          6.6002e-13          1                   605                 
629                 2.36751             0.443291            3.11179             5.49715e-14         7.49924e-13         5.59843e-14         7.49826e-13         1                   628                 
652                 2.51923             0.477302            3.29887             5.74148e-14         6.32958e-13         5.89329e-14         6.33091e-13         1                   651                 
675                 2.81256             0.545044            3.82167             5.99154e-14         7.26156e-13         6.2793e-14          7.26637e-13         1                   674                 
698                 3.04504             0.583006            4.69521             6.10517e-14         6.97668e-13         6.25534e-14         6.9799e-13          1                   697                 
721                 3.31399             0.666433            5.63172             6.49567e-14         6.78571e-13         6.61962e-14         6.78803e-13         1                   720                 
744                 3.54174             0.725216            6.05046             6.66226e-14         7.79314e-13         6.78616e-14         7.79136e-13         1                   743                 
767                 3.92921             0.852884            7.62768             6.46691e-14         6.69889e-13         6.69072e-14         6.70463e-13         1                   766                 
790                 4.71298             0.938168            8.01131             7.02978e-14         9.37636e-13         7.16726e-14         9.37452e-13         1                   789                 
813                 5.76746             1.08134             9.84204             0.00401097          0.000106929         7.12046e-14         7.66893e-13         1                   812                 
836                 5.4354              1.18364             9.99582             7.12648e-14         8.35108e-13         7.3058e-14          8.35978e-13         1                   835                 
859                 6.28815             1.34835             12.3806             7.78857e-14         7.46978e-13         7.92935e-14         7.46862e-13         1                   858                 
882                 6.37796             1.46179             12.6434             7.70379e-14         8.36236e-13         7.71939e-14         8.36094e-13         1                   881                 
905                 7.00592             1.6461              15.1954             7.89633e-14         8.64264e-13         8.07612e-14         8.64542e-13         1                   904                 
928                 7.61151             1.77454             14.4947             8.1004e-14          8.45051e-13         8.30773e-14         8.45485e-13         1                   927                 
951                 8.5291              1.98399             18.3231             8.19619e-14         9.02064e-13         8.31552e-14         9.02164e-13         1                   950                 
974                 9.18424             2.11772             17.963              8.54784e-14         8.63172e-13         8.64299e-14         8.62931e-13         1                   973                 
997                 9.51793             2.35401             21.4146             8.78612e-14         9.71864e-13         8.93915e-14         9.72333e-13         1                   996                 
