# Performance and accuracy of the ARPACK, Eigen and Numerical Recipes eigensolvers.
# 
# n_rep=10
# r_ev=0.1
# r_zeros=0.98
# 
# n_dim             time_a              time_e              time_n              error_values_ae     error_vectors_ae    error_values_ne     error_vectors_ne    n_it                n_conv              
100                 0.0020723           0.0018546           0.0036634           4.38316e-15         1.05605e-13         3.99458e-15         0.0586073           6.6                 10                  
123                 0.0028186           0.0035739           0.0073255           5.64363e-15         4.92178e-13         5.16994e-15         0.174167            5.7                 12                  
146                 0.003823            0.0056849           0.0125344           5.8144e-15          8.32621e-13         5.58284e-15         0.159585            5.5                 14                  
169                 0.005011            0.0091804           0.0200088           7.91173e-15         1.88735e-13         7.95614e-15         0.0620424           5.1                 16                  
192                 0.0069669           0.0129317           0.0437955           9.29783e-15         7.31454e-13         9.10032e-15         0.0587549           5                   19                  
215                 0.0091093           0.0200154           0.0492797           1.07808e-14         1.04294e-13         1.11202e-14         0.237546            4.9                 21                  
238                 0.0109927           0.0248938           0.0659413           1.19634e-14         3.08609e-13         1.25021e-14         0.225976            4.9                 23                  
261                 0.0135996           0.0342471           0.0957334           1.34918e-14         3.50068e-13         1.36284e-14         0.144915            4.3                 26                  
284                 0.0153587           0.0422435           0.125427            1.44202e-14         3.01582e-13         1.39087e-14         0.154519            4.1                 28                  
307                 0.0184292           0.0551995           0.189176            1.46083e-14         3.07363e-13         1.50087e-14         0.147673            4                   30                  
330                 0.023028            0.0656242           0.212091            1.90723e-14         2.06932e-13         1.96361e-14         0.175045            4.1                 33                  
353                 0.0279139           0.0834815           0.28362             1.82254e-14         2.5095e-13          1.87406e-14         0.173307            4.1                 35                  
376                 0.0313642           0.0962651           0.341369            1.993e-14           2.02531e-13         2.10546e-14         0.189472            4                   37                  
399                 0.0384202           0.117365            0.418794            1.88294e-14         2.06473e-13         1.88624e-14         0.196522            4.2                 39                  
422                 0.045531            0.133043            0.4965              1.95748e-14         5.66485e-13         2.0851e-14          0.154046            4.1                 42                  
445                 0.053202            0.161534            0.591842            2.10852e-14         1.83471e-12         2.15959e-14         0.133616            4.2                 44                  
468                 0.0579385           0.180163            0.694628            2.40523e-14         7.4269e-13          2.49395e-14         0.1493              4.1                 46                  
491                 0.069942            0.213093            0.814426            2.54282e-14         2.90169e-13         2.55759e-14         0.0718649           4                   49                  
514                 0.0801722           0.250338            1.07428             2.60863e-14         6.38058e-13         2.70642e-14         0.097587            4.1                 51                  
537                 0.091704            0.276698            1.35628             2.72227e-14         1.08158e-12         2.84535e-14         0.042113            4.1                 53                  
560                 0.10166             0.303782            1.88195             3.02004e-14         5.54394e-13         3.13345e-14         0.0784381           4.1                 56                  
583                 0.113045            0.35353             1.88839             3.05296e-14         7.80839e-13         3.15365e-14         0.0760629           4                   58                  
606                 0.125904            0.382203            2.5272              3.06784e-14         6.02812e-13         3.14548e-14         0.0634068           4.2                 60                  
629                 0.138513            0.44509             3.10993             3.03012e-14         8.04362e-13         3.06808e-14         2.06687e+149        4.1                 62                  
652                 0.157301            0.473273            3.27903             3.37918e-14         1.06375e-12         3.45419e-14         0.0729631           4.4                 65                  
675                 0.171264            0.542317            3.82046             3.38376e-14         6.37375e-13         3.51613e-14         0.112823            4.4                 67                  
698                 0.179227            0.578913            4.67559             3.4404e-14          1.48901e-12         3.51661e-14         0.081814            4.3                 69                  
721                 0.200783            0.662236            5.62392             3.48166e-14         7.74995e-13         3.55018e-14         2.49136e+69         4.2                 72                  
744                 0.206015            0.731683            6.0214              3.93403e-14         6.64647e-13         4.08406e-14         0.0788711           4.1                 74                  
767                 0.221762            0.847371            7.63135             3.86083e-14         9.09298e-13         3.99312e-14         0.0761952           4.1                 76                  
790                 0.246169            0.935696            7.96359             3.98742e-14         8.46242e-13         4.0972e-14          0.0669924           4.3                 79                  
813                 0.264368            1.08118             9.84831             4.1695e-14          8.69748e-13         4.36814e-14         0.0653567           4.1                 81                  
836                 0.277101            1.18221             9.96254             4.23864e-14         1.13943e-12         4.42013e-14         0.0860514           4.2                 83                  
859                 0.308986            1.33778             12.3566             4.5063e-14          9.33874e-13         4.6248e-14          0.0440529           4.3                 85                  
882                 0.342965            1.45769             12.6343             4.62892e-14         1.00877e-12         4.78799e-14         0.0748126           4.6                 88                  
905                 0.355086            1.64537             15.2138             4.69703e-14         7.43214e-13         4.70606e-14         0.0533005           4.3                 90                  
928                 0.377941            1.76134             14.5265             4.68104e-14         8.42186e-13         4.82431e-14         0.0891763           4.4                 92                  
951                 0.397231            1.9695              18.2437             4.99727e-14         8.76554e-13         5.04467e-14         0.0774688           4.1                 95                  
974                 0.41513             2.12444             17.9684             4.94198e-14         3.0481e-12          5.04078e-14         0.0853407           4.3                 97                  
997                 0.435598            2.35051             21.3552             5.05562e-14         1.04119e-12         5.24433e-14         0.0688679           4                   99                  
