# Performance and accuracy of the ARPACK, Eigen and Numerical Recipes eigensolvers.
# 
# n_rep=10
# r_ev=1
# r_zeros=0.98
# 
# n_dim             time_a              time_e              time_n              error_values_ae     error_vectors_ae    error_values_ne     error_vectors_ne    n_it                n_conv              
100                 0.0064866           0.00185             0.0036943           1.2412e-15          0.0108737           1.21761e-15         0.0106383           1                   99                  
123                 0.0147177           0.0051125           0.0112743           1.55813e-15         0.00447402          1.57513e-15         0.00455064          1                   122                 
146                 0.0239677           0.009252            0.0216218           1.88922e-15         0.00205955          1.89973e-15         0.00212106          1                   145                 
169                 0.0371973           0.014658            0.0337934           2.46691e-15         0.000726623         2.56757e-15         0.000748322         1                   168                 
192                 0.0482154           0.0185527           0.0584662           2.84816e-15         0.000317101         2.86314e-15         0.000326018         1                   191                 
215                 0.0585554           0.0226893           0.0653317           3.35953e-15         9.54002e-05         3.51764e-15         0.000102569         1                   214                 
238                 0.0895591           0.032565            0.114937            3.58196e-15         5.33972e-05         3.69844e-15         5.85839e-05         1                   237                 
261                 0.117374            0.0458652           0.156176            4.06059e-15         2.38867e-05         4.12728e-15         2.34419e-05         1                   260                 
284                 0.140842            0.0574089           0.207483            4.32575e-15         5.35537e-06         4.33686e-15         7.55201e-06         1                   283                 
307                 0.185779            0.0789849           0.264636            4.76143e-15         3.54431e-06         4.74295e-15         4.06986e-06         1                   306                 
330                 0.241732            0.100583            0.303729            5.40858e-15         3.39094e-13         5.44796e-15         3.39063e-13         1                   329                 
353                 0.282221            0.113714            0.428925            5.44909e-15         1.92328e-06         5.56569e-15         1.30158e-06         1                   352                 
376                 0.342639            0.156358            0.511557            6.03481e-15         4.06331e-13         6.17777e-15         4.06697e-13         1                   375                 
399                 0.401447            0.174571            0.630945            5.90554e-15         3.79606e-13         6.01031e-15         3.80019e-13         1                   398                 
422                 0.435137            0.189948            0.777406            6.35344e-15         4.84177e-13         6.59041e-15         4.84485e-13         1                   421                 
445                 0.415957            0.166403            0.640651            6.53105e-15         5.94359e-13         6.72374e-15         5.94956e-13         1                   444                 
468                 0.415232            0.179767            0.693233            7.37246e-15         5.3756e-13          7.49519e-15         5.37538e-13         1                   467                 
491                 0.472385            0.213842            0.81504             7.40962e-15         4.00567e-13         7.6497e-15          4.00466e-13         1                   490                 
514                 0.533159            0.250436            1.07651             7.78552e-15         4.29542e-13         8.0278e-15          4.29583e-13         1                   513                 
537                 0.585807            0.276682            1.36242             8.18439e-15         5.09656e-13         8.22851e-15         5.09885e-13         1                   536                 
560                 0.659915            0.303534            1.90396             8.79059e-15         5.52225e-13         9.05256e-15         5.52601e-13         1                   559                 
583                 0.740416            0.354079            1.88428             9.04033e-15         6.43135e-13         9.07542e-15         6.43851e-13         1                   582                 
606                 0.811143            0.382472            2.52507             9.53189e-15         6.18423e-13         9.58772e-15         6.19289e-13         1                   605                 
629                 0.904781            0.441809            3.10922             9.35691e-15         5.75486e-13         9.45499e-15         5.74451e-13         1                   628                 
652                 0.997652            0.474362            3.2792              1.02739e-14         1.0365e-12          1.04299e-14         1.03613e-12         1                   651                 
675                 1.11342             0.542042            3.81425             1.00298e-14         6.3876e-13          1.03257e-14         6.38799e-13         1                   674                 
698                 1.22379             0.579166            4.68583             1.0622e-14          6.84477e-13         1.0915e-14          6.84122e-13         1                   697                 
721                 1.36404             0.665681            5.61786             1.07501e-14         6.3896e-13          1.09929e-14         6.39105e-13         1                   720                 
744                 1.52172             0.723739            6.02524             1.1282e-14          7.40299e-13         1.14735e-14         7.40599e-13         1                   743                 
767                 1.76135             0.845733            7.61398             1.16727e-14         6.79249e-13         1.19636e-14         6.79084e-13         1                   766                 
790                 1.94246             0.935896            7.96596             1.15865e-14         6.12154e-13         1.18857e-14         6.11632e-13         1                   789                 
813                 2.26355             1.0803              9.83122             1.23016e-14         6.9203e-13          1.24923e-14         6.89373e-13         1                   812                 
836                 2.54808             1.18223             9.9879              1.24214e-14         7.04335e-13         1.27619e-14         7.04482e-13         1                   835                 
859                 2.80542             1.34001             12.3578             1.27325e-14         7.99751e-13         1.29988e-14         7.98695e-13         1                   858                 
882                 3.08582             1.45661             12.6363             1.33577e-14         6.39679e-13         1.35924e-14         6.40443e-13         1                   881                 
905                 3.73715             1.64288             15.2269             1.36441e-14         8.53889e-13         1.3896e-14          8.53599e-13         1                   904                 
928                 4.07305             1.76529             14.5022             1.36085e-14         7.52808e-13         1.39037e-14         7.53379e-13         1                   927                 
951                 4.34263             1.97212             18.2659             1.42502e-14         7.9879e-13          1.45103e-14         7.99395e-13         1                   950                 
974                 4.7572              2.11196             17.9441             1.43769e-14         9.7747e-13          1.46051e-14         9.78339e-13         1                   973                 
997                 5.34656             2.35272             21.4016             1.52766e-14         8.16241e-13         1.53981e-14         8.16031e-13         1                   996                 
