# Performance and accuracy of the ARPACK, Eigen and Numerical Recipes eigensolvers.
# 
# n_rep=10
# r_ev=0.01
# r_zeros=0.9
# 
# n_dim             time_a              time_e              time_n              error_values_ae     error_vectors_ae    error_values_ne     error_vectors_ne    n_it                n_conv              
100                 0.0030833           0.0023601           0.0047846           2.30482e-14         3.54138e-14         1.69642e-14         0.367275            525                 1                   
123                 0.0034265           0.0042545           0.0086995           3.60156e-14         1.85548e-15         2.38032e-14         0.426955            482.8               1                   
146                 0.003367            0.0065131           0.0148809           4.17444e-14         9.34935e-14         3.51719e-14         0.315808            415.1               1                   
169                 0.0054287           0.0100288           0.0218793           3.64153e-14         8.77103e-14         3.76588e-14         1.87379             573.1               1                   
192                 0.0064105           0.0138616           0.046098            5.01821e-14         3.12618e-14         4.56524e-14         9.81572             581.1               1                   
215                 0.003528            0.0210174           0.0519156           6.01297e-14         8.06877e-15         6.19504e-14         0.869804            65.5                2                   
238                 0.0047085           0.0259171           0.0685808           7.12763e-14         1.2588e-13          7.13651e-14         1.09847             82.5                2                   
261                 0.0059156           0.0353952           0.0986301           8.62421e-14         1.40875e-13         9.00169e-14         0.803699            94.2                2                   
284                 0.0058015           0.0430157           0.127462            1.01341e-13         1.10044e-12         9.50795e-14         0.787462            77.8                2                   
307                 0.0055712           0.0560312           0.191909            8.58869e-14         1.59914e-13         8.59461e-14         0.836408            41.9                3                   
330                 0.0068491           0.0664559           0.217048            1.25026e-13         6.06801e-14         1.19549e-13         0.944997            50.1                3                   
353                 0.0071942           0.0837227           0.285376            1.3903e-13          1.18004e-13         1.41043e-13         0.483763            45.7                3                   
376                 0.0084153           0.096537            0.348569            1.37993e-13         3.16006e-13         1.35773e-13         0.460006            47.8                3                   
399                 0.0088481           0.118698            0.422866            1.43115e-13         1.43263e-14         1.39266e-13         0.450301            46.2                3                   
422                 0.0103305           0.13469             0.499078            1.21081e-13         4.93088e-13         1.23279e-13         0.26306             35.4                4                   
445                 0.0115346           0.163301            0.595083            1.40488e-13         1.11147e-12         1.34603e-13         0.277337            35.8                4                   
468                 0.012059            0.181208            0.695371            1.70486e-13         6.88274e-14         1.64135e-13         0.239104            36                  4                   
491                 0.0136001           0.21473             0.817493            2.09721e-13         4.81158e-14         1.97997e-13         0.214565            37.6                4                   
514                 0.0172657           0.252847            1.07796             2.18172e-13         5.20644e-13         2.13625e-13         0.412744            33.8                5                   
537                 0.0171509           0.281175            1.3748              1.82734e-13         2.8693e-13          1.76605e-13         0.43336             31.5                5                   
560                 0.0179901           0.306051            1.91011             1.99734e-13         4.0572e-13          2.01403e-13         0.391954            30.9                5                   
583                 0.0193034           0.356471            1.92783             2.69331e-13         8.55986e-13         2.78995e-13         0.314697            31.2                5                   
606                 0.0219204           0.386424            2.57754             2.5843e-13          1.54243e-12         2.57809e-13         0.305163            27.3                6                   
629                 0.0225745           0.44486             3.16378             3.11159e-13         3.97681e-13         3.10389e-13         0.361069            26                  6                   
652                 0.0242967           0.477234            3.32112             2.98902e-13         6.09313e-13         2.97421e-13         0.332913            26.8                6                   
675                 0.0302356           0.59699             4.03843             2.90375e-13         4.16215e-13         2.93336e-13         0.429973            28.8                6                   
698                 0.0284353           0.590063            4.76177             3.50031e-13         3.38617e-13         3.53436e-13         0.318518            27.7                6                   
721                 0.0308221           0.666141            5.91048             2.94469e-13         8.30457e-13         2.98631e-13         0.323102            23.8                7                   
744                 0.0338408           0.770297            6.11719             3.66056e-13         5.36352e-13         3.6697e-13          0.310118            25.1                7                   
767                 0.0352572           0.857081            7.76567             2.99671e-13         9.67258e-13         2.96043e-13         0.352499            24.7                7                   
790                 0.0379706           0.955019            8.15513             3.673e-13           1.84816e-12         3.59433e-13         0.39338             25.5                7                   
813                 0.0386774           1.10713             10.1672             3.7208e-13          4.55225e-13         3.77298e-13         0.268208            20.7                8                   
836                 0.0431181           1.20064             10.1199             4.06075e-13         5.8661e-13          4.03677e-13         0.306351            22.8                8                   
859                 0.0455812           1.35586             12.5613             3.93552e-13         2.84655e-13         3.99969e-13         0.253468            22.9                8                   
882                 0.0462669           1.47647             12.9295             4.45133e-13         9.81258e-13         4.41136e-13         0.452027            22.4                8                   
905                 0.0499557           1.70867             15.8385             4.11088e-13         9.69731e-13         4.09648e-13         0.239374            19.7                9                   
928                 0.051582            1.79586             14.7778             4.47445e-13         4.94392e-13         4.45589e-13         0.201983            19.6                9                   
951                 0.0566704           2.00474             18.4608             5.04091e-13         5.20549e-13         4.914e-13           0.222456            20.8                9                   
974                 0.058422            2.1361              18.255              4.40339e-13         3.29565e-13         4.48806e-13         0.221863            20.6                9                   
997                 0.0645192           2.3749              21.6275             4.75353e-13         7.17376e-13         4.64438e-13         0.264679            22                  9                   
